"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.684445995526,-4.64044948231305,-4.59645296910009
"Year2004",-4.54745970645977,-4.4817600753144,-4.41606044416903
"Year2009",-4.98285199321188,-4.94400244795043,-4.90515290268898
"Year2011",-4.98130844357871,-4.93255068006702,-4.88379291655532
"Year2014",-5.02695268281906,-4.97824923165765,-4.92954578049624
"Year2016",-4.88642846539947,-4.77935578574671,-4.67228310609395
"Year2019",-4.98385512885037,-4.93545417000412,-4.88705321115787
"Year2021",-5.24670134470121,-5.1925168390045,-5.1383323333078
"Year2003:log10(Length)",2.86402424148888,2.88182491293474,2.8996255843806
"Year2004:log10(Length)",2.80457317971107,2.83050205177165,2.85643092383223
"Year2009:log10(Length)",2.9830712295723,2.99867029727446,3.01426936497663
"Year2011:log10(Length)",2.97484487587103,2.99455484859867,3.0142648213263
"Year2014:log10(Length)",2.98752052656714,3.00686093795075,3.02620134933435
"Year2016:log10(Length)",2.89027514721499,2.93186419350276,2.97345323979053
"Year2019:log10(Length)",2.97522894374067,2.9945632695401,3.01389759533953
"Year2021:log10(Length)",3.07982191422325,3.10150090933896,3.12317990445468
