"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.63524002359798,-4.59420942959151,-4.55317883558504,-219.463122893816,0
"log10(Length)",2.845509520776,2.86206381944513,2.87861811811427,338.865298747126,0
"Year2004",0.0102995945314351,0.0924203832070566,0.174541171882678,2.20583601681506,0.0274000003035086
"Year2005",-0.263487017467906,-0.192198702824085,-0.120910388180264,-5.28433905342519,1.26685219647982e-07
"Year2006",-0.271592375898928,-0.21722720468075,-0.162862033462573,-7.83162751982362,4.88498130835069e-15
"Year2007",-0.417174379308864,-0.360053695905687,-0.302933012502511,-12.3547069566567,0
"Year2009",-0.469864836721301,-0.412215096052156,-0.35456535538301,-14.0147419188419,0
"Year2010",-0.428464801540023,-0.369168252033901,-0.309871702527778,-12.2026314084174,0
"Year2011",-0.386291628257116,-0.322214916453976,-0.258138204650837,-9.8560748885598,0
"Year2012",-0.551579270104502,-0.494736610726957,-0.437893951349411,-17.0591831419126,0
"Year2013",-0.581732205565748,-0.525190583007166,-0.468648960448584,-18.2056937728169,0
"Year2014",-0.477916947349566,-0.416601441174266,-0.355285934998967,-13.3170803603851,0
"Year2015",-0.281922320171694,-0.225670420066944,-0.169418519962195,-7.86314004659191,3.77475828372553e-15
"Year2017",-0.370445973295126,-0.305504079699046,-0.240562186102965,-9.22041856935336,0
"Year2018",-0.426079293949481,-0.366062281617068,-0.306045269284656,-11.9547137134151,0
"Year2019",-0.357453617448776,-0.296050467485829,-0.234647317522883,-9.45004051808436,0
"Year2020",-0.393837168304101,-0.333416646425033,-0.272996124545966,-10.8158679682908,0
"Year2021",-0.645656902247552,-0.577039571218661,-0.508422240189771,-16.4827755670603,0
"Year2022",-0.412927312942763,-0.33648664557271,-0.260045978202657,-8.6278370252699,0
"log10(Length):Year2004",-0.0594013226883061,-0.0266826292823922,0.00603606412352166,-1.59842123484628,0.109955560249053
"log10(Length):Year2005",0.042040480990877,0.0705620436979875,0.0990836064050979,4.8490471176884,1.2442683892111e-06
"log10(Length):Year2006",0.0596208867811142,0.081758942412539,0.103896998043964,7.2385963727991,4.5985437679974e-13
"log10(Length):Year2007",0.116492501315109,0.139571311630003,0.162650121944897,11.8533555728361,0
"log10(Length):Year2009",0.13428236193133,0.157544658656302,0.180806955381275,13.2742399163625,0
"log10(Length):Year2010",0.114127049157403,0.138180439214868,0.162233829272333,11.2597525169509,0
"log10(Length):Year2011",0.0981207043963535,0.124349171880547,0.15057763936474,9.29241403163433,0
"log10(Length):Year2012",0.164097286470817,0.187173449060327,0.210249611649836,15.8978803191876,0
"log10(Length):Year2013",0.172197004996445,0.195088453488143,0.217979901979842,16.703860795687,0
"log10(Length):Year2014",0.133315169136371,0.158011846634624,0.182708524132878,12.5403508816601,0
"log10(Length):Year2015",0.0617385399839703,0.0845558877169541,0.107373235449938,7.26335485938595,3.83026943495679e-13
"log10(Length):Year2017",0.0986107043013416,0.12500677075508,0.151402837208818,9.28224214460847,0
"log10(Length):Year2018",0.112160099113397,0.136605998433745,0.161051897754092,10.9527284737918,0
"log10(Length):Year2019",0.0877555961823205,0.112720175182759,0.137684754183197,8.84985140733378,0
"log10(Length):Year2020",0.104299639497611,0.128605416284407,0.152911193071202,10.3707060474699,0
"log10(Length):Year2021",0.204928695440563,0.232693826358216,0.26045895727587,16.4264496105958,0
"log10(Length):Year2022",0.094987455298284,0.125604618906833,0.156221782515381,8.04079936196053,8.88178419700125e-16
