"0.10","0.25","0.50","0.75","0.90","Total length (mm)"
1,1.1,1.3,1.5,1.9,50
1.7,1.9,2.2,2.6,3.3,60
2.8,3.1,3.6,4.1,5.1,70
4.2,4.6,5.3,6.1,7.5,80
6,6.7,7.6,8.7,10.5,90
8.3,9.2,10.4,11.9,14.2,100
11.1,12.3,13.9,15.8,18.6,110
14.6,16,18,20.4,23.9,120
18.6,20.5,23,25.9,30.1,130
23.4,25.7,28.7,32.2,37.2,140
29,31.7,35.3,39.5,45.4,150
35.4,38.6,42.9,47.8,54.7,160
42.6,46.5,51.5,57.2,65.1,170
50.8,55.3,61.2,67.8,76.7,180
60.1,65.3,72,79.5,89.6,190
70.4,76.4,84,92.6,103.8,200
81.8,88.6,97.3,107,119.4,210
94.4,102.2,111.9,122.7,136.5,220
108.3,117.1,128,140,155.1,230
123.5,133.3,145.5,158.8,175.3,240
140.1,151,164.5,179.2,197.1,250
158.1,170.3,185.1,201.3,220.6,260
177.6,191.1,207.4,225.1,245.9,270
198.7,213.6,231.4,250.7,273,280
221.4,237.8,257.2,278.1,302,290
245.9,263.7,284.8,307.5,332.9,300
272,291.5,314.4,338.8,365.8,310
300,321.2,345.9,372.2,400.7,320
329.9,352.9,379.5,407.7,437.8,330
361.7,386.6,415.2,445.4,477,340
395.6,422.4,453.1,485.3,518.4,350
431.5,460.4,493.2,527.5,562.1,360
469.6,500.7,535.7,572,608.2,370
509.8,543.2,580.4,619,656.6,380
552.4,588.1,627.7,668.5,707.5,390
597.3,635.4,677.4,720.6,760.9,400
644.5,685.2,729.7,775.2,816.8,410
694.3,737.6,784.6,832.5,875.4,420
746.6,792.6,842.2,892.6,936.7,430
801.4,850.3,902.6,955.5,1000.6,440
859,910.7,965.8,1021.2,1067.4,450
919.3,974,1031.9,1089.9,1137,460
982.3,1040.2,1100.9,1161.5,1209.5,470
1048.2,1109.3,1173,1236.2,1284.9,480
1117.1,1181.5,1248.2,1314,1363.3,490
1188.9,1256.8,1326.4,1395,1444.8,500
1263.8,1335.2,1408,1479.2,1529.4,510
1341.9,1416.8,1492.7,1566.8,1617.2,520
1423.1,1501.8,1580.9,1657.7,1708.2,530
1507.6,1590.1,1672.4,1752,1802.4,540
1595.4,1681.8,1767.4,1849.8,1900,550
1686.6,1777.1,1866,1951.1,2001,560
1781.3,1875.8,1968.1,2056.1,2105.4,570
1879.4,1978.3,2074,2164.8,2213.3,580
1981.2,2084.4,2183.5,2277.1,2324.8,590
2086.7,2194.3,2296.9,2393.3,2439.8,600
2195.8,2308,2414.1,2513.3,2558.5,610
2308.8,2425.6,2535.3,2637.3,2680.9,620
2425.7,2547.2,2660.4,2765.2,2807,630
2546.4,2672.8,2789.7,2897.2,2937,640
2671.2,2802.5,2923,3033.3,3070.8,650
2800,2936.4,3060.5,3173.5,3208.5,660
2933,3074.5,3202.3,3318,3350.2,670
3070.2,3216.9,3348.4,3466.8,3495.9,680
3211.6,3363.8,3498.9,3619.9,3645.7,690
3357.4,3515,3653.9,3777.4,3799.6,700
3507.6,3670.8,3813.3,3939.4,3957.7,710
3662.3,3831.1,3977.4,4106,4120,720
