"","year","bnt_catch_lwr","bnt_catch_fit","bnt_catch_upr","rbt_catch_lwr","rbt_catch_fit","rbt_catch_upr","Brown_lwr","Brown_fit","Brown_upr","Rainbow_lwr","Rainbow_fit","Rainbow_upr"
"1",2023,89578,126471,162704,150392,211814,277566,1792,2529,3254,12031,16945,22205
"2",2024,90769,128987,166553,151417,215158,279791,1815,2580,3331,12113,17213,22383
"3",2025,93763,130974,169320,158502,222054,284780,1875,2619,3386,12680,17764,22782
"4",2026,94370,133748,170747,159815,224613,288685,1887,2675,3415,12785,17969,23095
"5",2027,95714,135437,175000,163611,227901,293393,1914,2709,3500,13089,18232,23471
"6",2028,99870,135702,178460,166612,232435,300098,1997,2714,3569,13329,18595,24008
"7",2029,100908,140840,180639,170280,239407,303001,2018,2817,3613,13622,19153,24240
"8",2030,102092,141695,183153,171734,242235,308355,2042,2834,3663,13739,19379,24668
