"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.68224527526089,-4.64044948231304,-4.59865368936518,-217.621292219484,0
"log10(Length)",2.86494635298259,2.88182491293474,2.89870347288688,334.661771398938,0
"Year2004",0.0797518115983253,0.158689406998641,0.237627002398958,3.94037857644115,8.16245723080922e-05
"Year2009",-0.360244670968786,-0.303552965637399,-0.246861260306012,-10.4951551651055,0
"Year2011",-0.356251318506679,-0.292101197753982,-0.227951077001286,-8.92503163775189,0
"Year2014",-0.400228901629389,-0.3377997493446,-0.275370597059811,-10.6058575553952,0
"Year2016",-0.248954303912135,-0.138906303433659,-0.028858302955184,-2.47407979592827,0.0133660739286032
"Year2019",-0.35781431870473,-0.295004687691087,-0.232195056677444,-9.2061189011148,0
"Year2021",-0.620585831969894,-0.55206735669147,-0.483548881413046,-15.7927689971142,0
"log10(Length):Year2004",-0.0826058765963936,-0.0513228611630903,-0.0200398457297871,-3.21570466250876,0.00130327751220172
"log10(Length):Year2009",0.0939807104277975,0.116845384339727,0.139710058251656,10.0166028370698,0
"log10(Length):Year2011",0.0868153710044671,0.112729935663928,0.138644500323388,8.52646956810468,0
"log10(Length):Year2014",0.100049292374094,0.125036025016001,0.150022757657908,9.80843218015861,0
"log10(Length):Year2016",0.00700125215856819,0.0500392805680162,0.0930773089774642,2.27893843970079,0.0226810276948355
"log10(Length):Year2019",0.0875098521349381,0.11273835660536,0.137966861075782,8.75899135922263,0
"log10(Length):Year2021",0.192138920063991,0.219675996404226,0.24721307274446,15.6364687447266,0
