"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.54889437543043,-4.468174027596,-4.38745367976156
"Year2004",-4.55887846989137,-4.4198454244193,-4.28081237894723
"Year2009",-4.95833350050453,-4.87693389675626,-4.79553429300799
"Year2011",-4.78679036903802,-4.71643431709151,-4.64607826514499
"Year2014",-4.89844959652934,-4.80990210520618,-4.72135461388301
"Year2019",-4.75888202767336,-4.694022330022,-4.62916263237064
"Year2021",-5.1242409384976,-5.03113071588433,-4.93802049327105
"Year2003:log10(Length)",2.77818616370175,2.81095125813065,2.84371635255955
"Year2004:log10(Length)",2.74631236670386,2.80157861783829,2.85684486897272
"Year2009:log10(Length)",2.9274730968531,2.96075460790897,2.99403611896484
"Year2011:log10(Length)",2.86875383275217,2.89869748736245,2.92864114197273
"Year2014:log10(Length)",2.90038493550256,2.93641836387747,2.97245179225237
"Year2019:log10(Length)",2.86322803291338,2.89019563748322,2.91716324205306
"Year2021:log10(Length)",2.99717435122345,3.03593296420087,3.07469157717828
