"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.4859,-4.43,-4.3741
"Year2004",-4.2416,-4.1444,-4.0472
"Year2007",-4.7255,-4.6689,-4.6123
"Year2010",-4.7472,-4.701,-4.6549
"Year2013",-5.161,-5.1083,-5.0556
"Year2016",-4.909,-4.8093,-4.7095
"Year2019",-4.7392,-4.688,-4.6368
"Year2022",-4.8889,-4.8223,-4.7556
"Year2003:log10(Length)",2.773,2.7955,2.818
"Year2004:log10(Length)",2.6548,2.6933,2.7319
"Year2007:log10(Length)",2.8663,2.8893,2.9124
"Year2010:log10(Length)",2.8716,2.8908,2.91
"Year2013:log10(Length)",3.0332,3.0545,3.0758
"Year2016:log10(Length)",2.898,2.9373,2.9765
"Year2019:log10(Length)",2.8666,2.8876,2.9085
"Year2022:log10(Length)",2.9159,2.9427,2.9695
