"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.54669271859786,-4.468174027596,-4.38965533659413,-111.557184310822,0
"log10(Length)",2.77906508186049,2.81095125813065,2.84283743440081,172.818960132451,0
"Year2004",-0.11051289273647,0.0483286031767021,0.207170099089874,0.59645926612152,0.550892194797169
"Year2009",-0.521209257887417,-0.408759869160265,-0.296310480433114,-7.12609598368196,1.16084919454806e-12
"Year2011",-0.354385784498718,-0.2482602894955,-0.142134794492282,-4.58593657224094,4.61642183058331e-06
"Year2014",-0.457978881693186,-0.341728077610176,-0.225477273527166,-5.76268940998003,8.71293570625653e-09
"Year2019",-0.329633600966408,-0.225848302425996,-0.122063003885584,-4.2660064411647,2.02231455963542e-05
"Year2021",-0.687733366050497,-0.562956688288342,-0.438180010526187,-8.84467909300617,0
"log10(Length):Year2004",-0.0728768355056772,-0.00937264029236288,0.0541315549209514,-0.289334384578242,0.772336046915211
"log10(Length):Year2009",0.104096851218834,0.149803349778322,0.19550984833781,6.42516207836041,1.4243317636442e-10
"log10(Length):Year2011",0.0438085516459743,0.0877462292317993,0.131683906817624,3.91500102297845,9.14608035387232e-05
"log10(Length):Year2014",0.0782281600014999,0.125467105746816,0.172706051492133,5.20679163421203,1.98887007529791e-07
"log10(Length):Year2019",0.0367351797622092,0.079244379352571,0.121753578942933,3.65448392473844,0.000260022501029633
"log10(Length):Year2021",0.173635215048992,0.224981706070224,0.276328197091456,8.58967933639937,0
