"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.4877,-4.43,-4.3724,-150.5863,0
"log10(Length)",2.7722,2.7955,2.8188,235.2623,0
"Year2004",0.1762,0.2856,0.3951,5.1164,0
"Year2007",-0.3217,-0.2389,-0.156,-5.6535,0
"Year2010",-0.3419,-0.271,-0.2002,-7.4983,0
"Year2013",-0.7568,-0.6783,-0.5997,-16.9237,0
"Year2016",-0.4968,-0.3792,-0.2616,-6.322,0
"Year2019",-0.3338,-0.2579,-0.182,-6.6616,0
"Year2022",-0.4786,-0.3922,-0.3059,-8.9068,0
"log10(Length):Year2004",-0.1458,-0.1022,-0.0585,-4.5903,0
"log10(Length):Year2007",0.0603,0.0938,0.1274,5.4796,0
"log10(Length):Year2010",0.0664,0.0953,0.1242,6.4669,0
"log10(Length):Year2013",0.2272,0.259,0.2907,15.9972,0
"log10(Length):Year2016",0.0952,0.1418,0.1883,5.9739,0
"log10(Length):Year2019",0.0612,0.0921,0.1229,5.8411,0
"log10(Length):Year2022",0.1124,0.1472,0.182,8.2942,0
