"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.6859,-4.6404,-4.595
"Year2004",-4.5496,-4.4818,-4.4139
"Year2007",-4.9495,-4.9021,-4.8547
"Year2010",-5.0628,-5.0185,-4.9742
"Year2013",-5.2533,-5.212,-5.1708
"Year2016",-4.8858,-4.7794,-4.6729
"Year2019",-4.9808,-4.9355,-4.8902
"Year2022",-5.1674,-5.1231,-5.0787
"Year2003:log10(Length)",2.8634,2.8818,2.9002
"Year2004:log10(Length)",2.8038,2.8305,2.8572
"Year2007:log10(Length)",2.9661,2.9851,3.0041
"Year2010:log10(Length)",3.0076,3.0254,3.0431
"Year2013:log10(Length)",3.079,3.0955,3.1119
"Year2016:log10(Length)",2.8905,2.9319,2.9732
"Year2019:log10(Length)",2.9765,2.9946,3.0127
"Year2022:log10(Length)",3.0459,3.0638,3.0817
